InputSize,Algorithm,Time,Comparisons,Case
1000,QuickSortFirst,0.000047,15035,average
1000,QuickSortRandom,0.000069,15538,average
1000,QuickSortMedian,0.000048,14158,average
1450,QuickSortFirst,0.000074,23258,average
1450,QuickSortRandom,0.000096,23923,average
1450,QuickSortMedian,0.000082,22077,average
1900,QuickSortFirst,0.000117,31596,average
1900,QuickSortRandom,0.000140,32783,average
1900,QuickSortMedian,0.000116,30331,average
2350,QuickSortFirst,0.000138,41354,average
2350,QuickSortRandom,0.000168,42318,average
2350,QuickSortMedian,0.000142,38625,average
2800,QuickSortFirst,0.000173,51691,average
2800,QuickSortRandom,0.000191,51896,average
2800,QuickSortMedian,0.000174,47473,average
3250,QuickSortFirst,0.000196,59787,average
3250,QuickSortRandom,0.000242,59469,average
3250,QuickSortMedian,0.000210,57019,average
3700,QuickSortFirst,0.000237,68627,average
3700,QuickSortRandom,0.000273,70428,average
3700,QuickSortMedian,0.000242,63992,average
4150,QuickSortFirst,0.000254,77925,average
4150,QuickSortRandom,0.000314,80545,average
4150,QuickSortMedian,0.000270,74533,average
4600,QuickSortFirst,0.000291,89189,average
4600,QuickSortRandom,0.000323,91530,average
4600,QuickSortMedian,0.000288,82462,average
5050,QuickSortFirst,0.000302,98744,average
5050,QuickSortRandom,0.000378,99188,average
5050,QuickSortMedian,0.000333,90993,average
5500,QuickSortFirst,0.000352,106050,average
5500,QuickSortRandom,0.000422,110567,average
5500,QuickSortMedian,0.000390,101367,average
5950,QuickSortFirst,0.000415,117251,average
5950,QuickSortRandom,0.000442,122052,average
5950,QuickSortMedian,0.000414,110118,average
6400,QuickSortFirst,0.000437,128988,average
6400,QuickSortRandom,0.000505,131799,average
6400,QuickSortMedian,0.000447,121510,average
6850,QuickSortFirst,0.000487,142664,average
6850,QuickSortRandom,0.000560,140675,average
6850,QuickSortMedian,0.000503,132429,average
7300,QuickSortFirst,0.000527,156344,average
7300,QuickSortRandom,0.000591,153088,average
7300,QuickSortMedian,0.000522,138730,average
7750,QuickSortFirst,0.000563,166129,average
7750,QuickSortRandom,0.000633,161366,average
7750,QuickSortMedian,0.000573,150818,average
8200,QuickSortFirst,0.000602,176259,average
8200,QuickSortRandom,0.000681,172924,average
8200,QuickSortMedian,0.000622,166325,average
8650,QuickSortFirst,0.000625,182804,average
8650,QuickSortRandom,0.000712,185552,average
8650,QuickSortMedian,0.000644,171483,average
9100,QuickSortFirst,0.000659,196102,average
9100,QuickSortRandom,0.000742,193644,average
9100,QuickSortMedian,0.000683,185037,average
9550,QuickSortFirst,0.000731,201696,average
9550,QuickSortRandom,0.000801,206499,average
9550,QuickSortMedian,0.000723,189401,average
